timestamp,ax,ay,az,gx,gy,gz
277421,-2.81,-1.61,0.95,704.00,30288.00,-26383.00
277472,-3.44,-3.14,2.79,-9095.00,32767.00,-32768.00
277523,-5.38,-3.27,0.72,32741.00,-18963.00,-32768.00
277574,3.63,-1.00,-0.10,-25111.00,6568.00,-32768.00
277625,2.93,-2.07,-0.19,2792.00,6177.00,-32768.00
277676,2.98,-1.94,-0.14,-10289.00,-22580.00,-32768.00
277727,3.00,-1.98,-0.05,-31416.00,-8033.00,-32768.00
277778,2.95,-2.03,-0.05,-12569.00,10242.00,-32768.00
277829,2.92,-1.96,0.09,-295.00,-11327.00,-32768.00
277880,2.98,-1.95,0.13,-22970.00,-17179.00,-32768.00
277932,2.98,-1.98,0.16,-25666.00,3184.00,-32768.00
277983,2.91,-1.95,0.41,-3278.00,-1761.00,-32768.00
278034,2.91,-1.94,0.37,-10172.00,-14314.00,-32768.00
278085,3.00,-1.95,0.42,-27407.00,-5992.00,-32768.00
278136,2.93,-1.91,0.63,-13837.00,156.00,-32768.00
278187,2.85,-1.94,0.77,-4312.00,-7508.00,-32768.00
278238,2.96,-1.94,0.72,-18642.00,-10289.00,-32768.00
278289,2.95,-1.91,0.71,-20567.00,-4133.00,-32768.00
278340,2.88,-1.92,0.71,-10740.00,-2717.00,-32768.00
278391,2.90,-1.92,0.71,-12888.00,-6876.00,-32768.00
278442,2.92,-1.89,0.72,-17560.00,-7572.00,-32768.00
278493,2.88,-1.89,0.74,-15066.00,-5105.00,-32768.00
278544,2.87,-1.91,0.74,-13675.00,-4525.00,-32768.00
278595,2.91,-1.89,0.91,-15215.00,-6843.00,-32768.00
278646,-0.95,-11.58,10.69,-27912.00,-5322.00,-32768.00
278697,0.42,-0.28,-0.14,14168.00,-5561.00,-32768.00
278748,0.45,-0.08,0.17,5982.00,-17584.00,-32768.00
278799,0.41,-0.00,0.19,-32768.00,-18660.00,-32768.00
278850,-0.38,0.70,2.60,32598.00,-29181.00,-32768.00
278901,-0.40,0.39,0.89,-7722.00,7700.00,-32768.00
278952,-0.28,0.12,0.70,-48.00,-8286.00,-20257.00
279003,-0.24,-0.52,1.12,-1148.00,1468.00,-2103.00
279054,0.08,0.11,1.03,-37.00,104.00,194.00
279105,0.04,-0.02,1.01,21.00,11.00,13.00
279156,0.03,-0.00,1.00,24.00,31.00,30.00
279207,0.03,-0.00,1.00,16.00,26.00,17.00
279258,0.03,-0.00,1.00,19.00,34.00,15.00
279309,0.03,-0.00,1.00,14.00,32.00,20.00
279360,0.03,-0.00,1.00,12.00,40.00,13.00
279411,0.03,-0.00,1.00,-9.00,29.00,18.00
279462,0.03,-0.00,1.00,10.00,39.00,17.00
279513,0.03,-0.00,1.00,-1.00,39.00,19.00
279564,0.03,-0.00,1.00,10.00,41.00,9.00
