timestamp,ax,ay,az,gx,gy,gz
258623,-1.21,1.62,1.18,4561.00,12013.00,-4540.00
258674,-4.79,2.61,0.68,2075.00,-2480.00,-32768.00
258725,-6.15,2.99,0.76,11905.00,-6033.00,-32768.00
258776,-11.44,5.17,0.69,11187.00,-22805.00,-32768.00
258827,2.98,-1.17,0.42,31342.00,-16260.00,-32768.00
258878,1.90,-1.51,0.64,32767.00,-32768.00,-32768.00
258929,2.49,-1.71,0.60,-32768.00,-32768.00,-32768.00
258980,2.69,-1.51,-0.41,-32764.00,-25941.00,-32768.00
259031,2.29,-1.38,1.09,-32768.00,30863.00,-32768.00
259082,2.05,-1.91,0.04,21039.00,32767.00,-32768.00
259134,2.24,-1.60,0.92,25517.00,291.00,-32768.00
259185,2.41,-1.13,0.29,-8316.00,-32639.00,-32768.00
259236,2.10,-1.29,1.21,-28211.00,-32768.00,-32768.00
259287,2.08,-1.64,0.32,-32768.00,11409.00,-32768.00
259338,2.40,-1.59,0.09,-32328.00,31470.00,-32768.00
259389,2.21,-1.32,0.55,1893.00,3650.00,-32768.00
259440,1.85,-1.28,0.66,20331.00,-26400.00,-32768.00
259491,2.08,-1.49,0.40,-12945.00,-22041.00,-32768.00
259542,2.34,-1.54,-0.33,-32698.00,-13200.00,-32768.00
259593,2.19,-1.25,0.28,-32768.00,-9168.00,-32768.00
259644,1.93,-1.37,0.36,-10435.00,10967.00,-32768.00
259695,1.98,-1.69,-0.21,9011.00,23973.00,-32768.00
259746,2.18,-1.44,0.18,1901.00,-13380.00,-32768.00
259797,2.23,-1.11,-0.25,-23279.00,-32718.00,-32768.00
259848,1.97,-1.31,0.34,-32768.00,-24603.00,-32768.00
259899,6.41,-5.26,1.69,32767.00,31288.00,-32768.00
259950,7.55,-4.65,0.54,-32768.00,-32768.00,-32768.00
260001,7.35,-5.07,-0.05,-21394.00,31978.00,-32768.00
260052,7.03,-4.05,-0.19,5688.00,-32235.00,-32768.00
260103,6.99,-4.78,-1.13,-32768.00,32767.00,-32768.00
260154,6.55,-4.25,-0.66,32767.00,-32768.00,-32768.00
260205,5.86,-4.66,-0.93,-32316.00,-20225.00,-32768.00
260256,7.01,-4.18,0.35,-23730.00,32673.00,-32768.00
260307,6.09,-4.02,0.47,-4634.00,-32768.00,-32768.00
260358,6.30,-4.06,-0.20,-32768.00,1524.00,-32768.00
260409,5.37,-1.93,0.67,27806.00,-32768.00,-32768.00
260460,6.60,-3.51,0.04,-32607.00,29058.00,-32768.00
260511,5.45,-3.52,-0.10,20485.00,-24921.00,-32768.00
260562,5.09,-4.17,0.18,-5366.00,17502.00,-32768.00
260613,5.21,-3.20,-0.10,-26292.00,-32768.00,-32768.00
260664,4.73,-3.14,-0.23,-25714.00,4201.00,-32768.00
260715,8.73,-9.37,-4.11,-4816.00,28852.00,-32768.00
260766,4.67,-3.07,0.17,-32768.00,32767.00,-32768.00
260817,4.44,-3.09,0.67,23584.00,-19346.00,-32768.00
260868,4.27,-2.81,0.59,-32542.00,26201.00,-32768.00
260919,2.07,-0.36,0.41,-32656.00,-31058.00,-32768.00
260970,2.74,-7.74,-1.49,-20461.00,19472.00,-32768.00
261021,2.95,-1.76,0.62,-3372.00,-32768.00,-32768.00
261072,0.95,0.29,0.37,-32226.00,-10186.00,-32768.00
261123,-1.00,-10.98,-1.72,-21317.00,7985.00,-32768.00
261174,7.14,-0.67,-0.99,-21713.00,-2333.00,-32768.00
261225,2.17,-1.25,0.33,-30105.00,-9925.00,-32768.00
261276,2.02,-1.45,0.28,1206.00,-5688.00,-32768.00
261327,4.45,-4.16,-1.62,-20593.00,30852.00,-32768.00
261378,2.86,-0.57,0.13,-13185.00,-14926.00,-32768.00
261429,1.91,-1.74,0.31,32767.00,5040.00,-32768.00
261480,1.10,-1.83,0.46,-7704.00,22668.00,-32768.00
261531,1.36,-0.60,0.43,-19660.00,-1158.00,-32768.00
261582,1.46,-0.97,0.09,-11071.00,4001.00,-32768.00
261633,0.38,-0.02,0.11,11417.00,-26409.00,-32768.00
261684,0.28,-1.08,0.01,18092.00,-27353.00,-32768.00
261735,0.97,-1.52,-0.14,-9649.00,-15218.00,-32768.00
261786,1.49,-1.12,-0.01,-19907.00,-10374.00,-32768.00
261837,1.58,-0.15,-0.29,-32768.00,-32555.00,-32768.00
261888,0.18,0.37,-0.05,1169.00,-25036.00,-32768.00
261939,0.35,-1.06,-0.20,-8316.00,-2497.00,-32768.00
261990,0.75,-1.90,-0.56,-29160.00,19463.00,-32768.00
262041,2.81,-1.47,-2.12,-32768.00,21865.00,-32768.00
262092,1.63,0.61,-0.87,-32768.00,-15723.00,-32768.00
262143,0.33,-0.21,0.01,4900.00,-31097.00,-32768.00
262194,0.34,-0.35,-0.02,22364.00,17352.00,-32768.00
262245,-2.59,-2.80,-1.69,7722.00,17785.00,-32768.00
262296,0.13,-0.39,-0.56,-21483.00,32767.00,-32768.00
262347,0.15,-0.88,-2.65,-32768.00,-26322.00,-32682.00
262398,-0.06,-0.06,-0.89,23073.00,-31183.00,-26211.00
262449,-0.14,-0.14,-0.39,30073.00,9918.00,-25434.00
262500,-0.13,-0.54,-1.11,-14087.00,23837.00,-17117.00
262551,0.06,-0.34,-1.39,-26467.00,-6809.00,-10602.00
262602,0.01,-0.02,-0.63,3336.00,-3698.00,-6647.00
262653,-0.22,-0.10,-1.32,8518.00,3618.00,-3774.00
262704,-0.01,-0.13,-0.90,-634.00,-896.00,-20.00
262755,-0.03,-0.06,-0.98,-1444.00,90.00,228.00
262806,-0.07,-0.09,-1.03,607.00,49.00,-16.00
262857,-0.07,-0.08,-1.02,76.00,38.00,-15.00
262908,-0.07,-0.08,-1.02,-52.00,35.00,27.00
262959,-0.07,-0.09,-1.02,-11.00,22.00,25.00
263010,-0.07,-0.09,-1.02,-2.00,38.00,34.00
263061,-0.07,-0.09,-1.02,17.00,21.00,21.00
263112,-0.07,-0.08,-1.02,12.00,16.00,17.00
263163,-0.06,-0.09,-1.02,19.00,37.00,11.00
263214,-0.07,-0.08,-1.02,9.00,36.00,18.00
263265,-0.07,-0.09,-1.02,-3.00,21.00,14.00
263316,-0.07,-0.08,-1.02,6.00,29.00,19.00
263367,-0.07,-0.09,-1.02,8.00,34.00,14.00
263418,-0.07,-0.08,-1.02,8.00,28.00,18.00
