timestamp,ax,ay,az,gx,gy,gz
102413,1.01,0.17,1.86,12981.00,-7584.00,-16279.00
102464,2.04,-0.13,2.74,15445.00,-12733.00,-32768.00
102515,3.68,0.42,3.51,30489.00,-27112.00,-32767.00
102566,4.64,2.96,3.52,30072.00,-32748.00,-32768.00
102617,8.15,6.66,-0.31,-29245.00,-31492.00,-32768.00
102668,1.94,-1.35,-1.48,-32768.00,-32701.00,-32768.00
102719,1.84,-1.10,-0.30,-32768.00,-8894.00,-32768.00
102770,1.69,-1.13,0.04,-25194.00,32767.00,-32768.00
102821,1.58,-1.42,-0.07,32710.00,32612.00,-32768.00
102872,1.65,-1.16,0.52,26403.00,-18535.00,-32768.00
102924,1.84,-0.99,-0.06,-14715.00,-32768.00,-32768.00
102975,1.73,-0.99,0.79,-32709.00,-31960.00,-32768.00
103026,1.64,-1.13,0.38,-32768.00,11012.00,-32768.00
103077,1.72,-1.28,0.32,-8847.00,27401.00,-32768.00
103128,1.72,-1.12,0.59,5393.00,-1454.00,-32768.00
103179,1.66,-0.97,0.37,-5008.00,-25724.00,-32768.00
103230,1.60,-1.06,0.65,-21085.00,-17303.00,-32768.00
103281,1.64,-1.15,0.45,-23087.00,-18.00,-32768.00
103332,1.71,-1.12,0.54,-13654.00,3857.00,-32768.00
103383,1.66,-1.04,0.70,-6369.00,-4224.00,-32768.00
103434,1.58,-1.01,0.67,-10280.00,-9785.00,-32768.00
103485,1.58,-1.09,0.75,-15648.00,-9467.00,-32768.00
103536,1.65,-1.13,0.58,-16981.00,-4801.00,-32768.00
103587,1.69,-1.05,0.59,-15177.00,-3945.00,-32768.00
103638,1.61,-0.98,0.67,-11823.00,-5988.00,-32768.00
103689,1.53,-1.02,0.69,-11275.00,-7840.00,-32768.00
103740,1.55,-1.10,0.61,-13021.00,-6536.00,-32768.00
103791,1.64,-1.09,0.52,-15886.00,-5212.00,-32768.00
103842,1.64,-1.00,0.66,-14947.00,-5100.00,-32768.00
103893,1.56,-0.97,0.74,-13253.00,-5220.00,-32768.00
103944,1.52,-1.03,0.83,-13595.00,-6401.00,-32768.00
103995,1.56,-1.10,0.67,-13853.00,-6839.00,-32768.00
104046,1.64,-1.03,0.56,-17053.00,-6955.00,-32768.00
104097,1.59,-0.93,0.67,-15566.00,-8091.00,-32768.00
104148,1.48,-0.95,0.72,-11051.00,-6920.00,-32768.00
104199,1.46,-1.06,0.66,-8740.00,-3493.00,-32768.00
104250,1.56,-1.09,0.66,-11787.00,-4662.00,-32768.00
104301,1.64,-0.98,0.56,-16956.00,-9839.00,-32768.00
104352,1.54,-0.87,0.73,-16137.00,-13861.00,-32768.00
104403,4.34,-3.16,1.33,32767.00,32524.00,-32768.00
104454,4.16,-1.93,-1.25,32752.00,-32768.00,-32768.00
104505,7.68,2.66,-2.14,-32586.00,-32768.00,-32768.00
104556,3.82,-2.50,-0.68,-32768.00,32630.00,-32768.00
104607,3.27,-2.38,0.02,32238.00,13045.00,-32768.00
104658,5.82,5.02,0.66,-32768.00,-32768.00,-32768.00
104709,3.22,-2.23,-0.36,-32756.00,29960.00,-32768.00
104760,3.12,-2.19,0.00,17092.00,6286.00,-32768.00
104811,7.76,5.09,1.44,-17293.00,-32599.00,-32768.00
104862,2.85,-2.04,-0.35,-32768.00,17952.00,-32768.00
104913,2.84,-1.99,-0.04,4425.00,11371.00,-32768.00
104964,2.82,-1.80,-0.03,-4741.00,-32768.00,-32768.00
105015,2.83,-1.90,0.08,-32670.00,-16914.00,-32768.00
105066,3.78,-1.36,-0.37,-32768.00,1777.00,-32768.00
105117,2.51,-1.69,0.05,-9743.00,11095.00,-32768.00
105168,2.44,-1.52,0.09,3422.00,-19189.00,-32768.00
105219,2.55,-1.67,-0.10,-28512.00,-17912.00,-32768.00
105270,2.89,-2.36,0.37,-28655.00,1625.00,-32768.00
105321,2.51,-1.69,0.00,-5939.00,-8064.00,-32768.00
105372,2.63,-2.61,-0.07,-8493.00,-7022.00,-32768.00
105423,2.47,-1.66,-0.08,-20745.00,-13307.00,-32768.00
105474,2.47,-1.61,0.01,-25291.00,-8546.00,-32768.00
105525,3.45,3.83,0.79,-16796.00,-1381.00,-32768.00
105576,0.87,-1.49,0.17,-7020.00,-1420.00,-32768.00
105627,2.47,-1.30,-0.15,-22455.00,-12384.00,-32768.00
105678,2.18,-1.43,0.05,-21856.00,-7115.00,-32768.00
105729,2.12,-1.46,0.03,-12330.00,-2688.00,-32768.00
105780,1.39,-1.98,0.08,-15242.00,-5057.00,-32768.00
105831,2.13,-1.42,-0.01,-18138.00,-9458.00,-32768.00
105882,2.99,-0.94,-0.11,-13648.00,-2325.00,-32768.00
105933,1.95,-1.35,-0.09,-9467.00,-8620.00,-32768.00
105984,2.00,-1.41,-0.09,-18594.00,-8940.00,-32768.00
106035,3.42,-4.01,0.26,-23386.00,-6729.00,-32768.00
106086,1.96,-1.30,0.08,-32442.00,3271.00,-32768.00
106137,1.84,-1.31,-0.04,-5505.00,11345.00,-32768.00
106188,-2.88,-2.66,0.50,1148.00,8528.00,-32768.00
106239,1.76,-1.17,0.02,5765.00,-17649.00,-32768.00
106290,1.78,-1.13,0.03,-20103.00,-32002.00,-32768.00
106341,1.17,0.38,0.16,-10975.00,-18770.00,-32768.00
106392,1.63,-1.12,0.05,-22753.00,-13757.00,-32768.00
106443,1.66,-1.12,-0.02,-25607.00,-1266.00,-32768.00
106494,1.63,-1.08,0.08,-13311.00,1022.00,-32768.00
106545,7.13,7.41,-0.85,1546.00,-12258.00,-32768.00
106596,1.46,-0.95,0.20,-14610.00,-32768.00,-32768.00
106647,1.46,-1.04,-0.12,-32706.00,-14388.00,-32768.00
106698,1.44,-0.84,0.11,-32768.00,23209.00,-32768.00
106749,1.39,-0.99,-0.04,4294.00,25992.00,-32768.00
106800,1.10,-0.99,0.07,30391.00,-29100.00,-32768.00
106851,1.13,-0.82,0.11,-15453.00,-32768.00,-32768.00
106902,1.17,-0.90,0.08,-19148.00,12402.00,-32768.00
106953,1.26,-0.88,0.12,1577.00,6986.00,-32768.00
107004,1.40,-0.44,0.32,-2289.00,-24548.00,-32768.00
107055,1.21,-0.81,0.09,-20856.00,-20331.00,-32768.00
107106,-0.21,-0.72,0.22,-11607.00,26959.00,-32768.00
107157,1.14,-0.85,0.13,14600.00,7418.00,-32768.00
107208,1.84,-1.52,-0.68,881.00,-28142.00,-32768.00
107259,1.21,-0.79,0.11,-32768.00,-29829.00,-32768.00
107310,0.60,4.24,0.04,-9609.00,-4169.00,-32768.00
107361,0.87,-0.72,0.05,-9150.00,-9318.00,-32768.00
107412,0.99,-1.07,-0.06,-10921.00,11831.00,-32768.00
107463,1.06,-0.75,0.03,2108.00,2707.00,-32768.00
107514,2.73,-0.02,-0.05,-9364.00,-32768.00,-32768.00
107565,1.86,2.70,-0.28,-17935.00,-32764.00,-32768.00
107616,0.58,-0.53,0.15,-14834.00,-20524.00,-32768.00
107667,0.76,-0.74,0.09,-17699.00,-7195.00,-32768.00
107718,0.95,-0.72,-0.03,-18479.00,487.00,-32768.00
107769,1.01,-0.62,-0.07,-26137.00,3956.00,-32768.00
107820,1.46,-0.20,0.01,-17319.00,-11444.00,-32768.00
107871,0.87,-0.55,0.00,-11379.00,-13909.00,-32768.00
107922,-1.97,0.28,0.11,-7423.00,3240.00,-32768.00
107973,-1.09,-2.54,-0.11,213.00,7756.00,-32768.00
108024,3.03,-6.28,-0.63,-5767.00,1528.00,-32768.00
108075,0.88,-0.58,-0.07,-16242.00,-3030.00,-32768.00
108126,3.11,1.90,-0.50,-2450.00,-13887.00,-32768.00
108177,0.50,0.11,-0.04,-135.00,-19112.00,-32768.00
108228,-1.34,-0.33,0.02,-9467.00,-16642.00,-32768.00
108279,0.67,-0.58,-0.07,-1873.00,7229.00,-32768.00
108330,0.72,-0.98,-0.07,-23165.00,4429.00,-32768.00
108381,0.74,-0.50,-0.03,-24450.00,4409.00,-32768.00
108432,0.99,-0.29,-0.12,-18920.00,-14495.00,-32768.00
108483,0.68,-0.42,0.02,-8768.00,-24164.00,-32768.00
108534,-0.85,0.62,0.13,7401.00,-3426.00,-32768.00
108585,-0.10,-0.74,-0.02,6642.00,2181.00,-32768.00
108636,1.02,0.49,0.23,-23701.00,19589.00,-32768.00
108687,1.69,-1.46,-1.30,-2790.00,17000.00,-32768.00
108738,1.14,-0.34,-0.07,-26408.00,-4316.00,-32768.00
108789,0.56,-0.34,0.07,-28237.00,-31872.00,-32768.00
108840,0.38,-0.40,0.07,-766.00,-26237.00,-32768.00
108891,-6.46,1.75,0.56,-978.00,-5004.00,-32768.00
108942,0.33,-0.29,0.04,8992.00,1746.00,-32768.00
108993,0.52,-0.15,0.02,-10371.00,24723.00,-32768.00
109044,0.23,0.41,0.45,-32768.00,14639.00,-32768.00
109095,4.88,-1.35,-3.39,-32765.00,-9412.00,-32768.00
109146,3.38,2.80,-2.32,-24980.00,-28870.00,-32768.00
109197,0.02,3.72,-0.77,-4286.00,-32768.00,-32768.00
109248,-0.02,-0.08,-0.03,32767.00,-19878.00,-32768.00
109299,0.28,-0.13,-0.02,32060.00,32767.00,-26458.00
109350,-0.45,-0.59,-0.56,10591.00,32766.00,-17315.00
109401,-0.03,-0.13,-0.82,-32508.00,32767.00,155.00
109452,0.10,0.18,-2.20,-31775.00,-32343.00,4042.00
109503,-0.20,-0.15,-1.04,32687.00,-22094.00,-1776.00
109554,-0.07,-0.11,-0.47,18082.00,29424.00,-952.00
109605,-0.01,-0.21,-1.74,-30125.00,-1156.00,3064.00
109656,-0.07,0.07,-0.55,1345.00,1073.00,45.00
109707,-0.11,-0.15,-1.13,14495.00,-5333.00,264.00
109758,-0.12,-0.08,-0.78,-4542.00,3028.00,1035.00
