timestamp,ax,ay,az,gx,gy,gz
367687,-0.10,-0.83,1.87,-8925.00,-3993.00,-5577.00
367738,0.07,-1.60,2.21,-17716.00,-11600.00,-15262.00
367789,0.32,-3.22,2.10,-29365.00,-8917.00,-32768.00
367840,1.39,-4.85,1.77,-32768.00,-15151.00,-32767.00
367891,2.99,-6.05,0.23,-31900.00,28317.00,-32768.00
367942,1.10,-0.71,-0.61,-15145.00,32766.00,-32768.00
367993,1.30,-1.12,-0.27,25764.00,32767.00,-32768.00
368044,1.17,-0.89,0.19,32767.00,-12031.00,-32768.00
368095,1.29,-0.66,-0.12,4534.00,-32717.00,-32768.00
368146,1.28,-0.73,0.67,-29374.00,-32768.00,-32768.00
368198,1.26,-0.83,0.31,-32768.00,-9058.00,-32768.00
368249,1.27,-0.90,0.20,-31105.00,19582.00,-32768.00
368300,1.30,-0.84,0.67,-4999.00,18437.00,-32768.00
368351,1.21,-0.81,0.58,8712.00,1390.00,-32768.00
368402,1.16,-0.74,0.56,-1324.00,-17423.00,-32768.00
368453,1.21,-0.78,0.70,-18186.00,-20357.00,-32768.00
368504,1.24,-0.79,0.67,-24375.00,-12825.00,-32768.00
368555,1.24,-0.79,0.71,-16651.00,55.00,-32768.00
368606,1.22,-0.80,0.74,-7326.00,6345.00,-32768.00
368657,1.21,-0.80,0.71,-10843.00,-35.00,-32768.00
368708,1.23,-0.76,0.80,-16925.00,-9650.00,-32768.00
368759,1.24,-0.72,0.99,-15863.00,-16444.00,-32768.00
368810,1.20,-0.74,1.04,-10186.00,-10893.00,-32768.00
368861,1.18,-0.78,0.97,-9603.00,700.00,-32768.00
368912,1.20,-0.80,0.81,-13720.00,5321.00,-32768.00
368963,1.21,-0.76,0.77,-17074.00,-2976.00,-32768.00
369014,1.21,-0.72,0.89,-13932.00,-13356.00,-32768.00
369065,1.17,-0.72,0.93,-8840.00,-12659.00,-32768.00
369116,1.15,-0.76,0.87,-8889.00,-3004.00,-32768.00
369167,1.17,-0.79,0.74,-15422.00,2483.00,-32768.00
369218,1.20,-0.75,0.72,-19467.00,-2550.00,-32768.00
369269,1.19,-0.71,0.83,-14161.00,-10679.00,-32768.00
369320,1.14,-0.71,0.86,-7577.00,-11068.00,-32768.00
369371,1.12,-0.75,0.81,-8464.00,-3144.00,-32768.00
369422,1.16,-0.77,0.72,-15884.00,604.00,-32768.00
369473,-4.53,-4.42,5.31,27954.00,-30077.00,-32768.00
369524,-2.62,4.46,0.15,-29700.00,32767.00,-32768.00
369575,0.70,-0.23,-0.41,-27391.00,32767.00,-32768.00
369626,0.64,-0.46,0.18,23445.00,32767.00,-32768.00
369677,0.42,-0.52,0.17,32767.00,32767.00,-32768.00
369728,0.26,-0.39,-0.01,32767.00,-1737.00,-32768.00
369779,0.28,-0.21,-0.04,32767.00,-32768.00,-32768.00
369830,0.40,-0.15,0.10,19655.00,-32768.00,-32768.00
369881,0.34,-0.72,0.04,3587.00,-32768.00,-32768.00
369932,0.62,-0.35,0.15,-32768.00,-32768.00,-32768.00
369983,0.55,-0.40,0.05,-32766.00,-24932.00,-32768.00
370034,1.26,0.36,-0.30,-32509.00,-20088.00,-32768.00
370085,0.55,-0.28,0.40,-29401.00,1048.00,-32768.00
370136,0.41,-0.28,0.17,-22049.00,12713.00,-32768.00
370187,0.54,-0.31,0.24,-13064.00,18269.00,-32768.00
370238,0.30,-0.26,0.10,-5266.00,30345.00,-32768.00
370289,0.15,3.79,1.16,-8855.00,21167.00,-32768.00
370340,-1.23,1.04,0.49,-23381.00,22595.00,-32768.00
370391,-0.27,-0.28,0.18,-26008.00,7042.00,-32768.00
370442,0.01,-0.43,0.25,-14823.00,-1199.00,-32768.00
370493,0.03,-0.79,0.54,-1775.00,-5356.00,-32768.00
370544,0.46,-0.92,0.53,12066.00,-10065.00,-32768.00
370595,1.70,-0.99,0.54,30975.00,7105.00,-32768.00
370646,2.18,0.81,0.42,22192.00,32767.00,-32768.00
370697,0.26,1.59,0.28,2503.00,32763.00,-32768.00
370748,-1.65,0.89,0.32,-25383.00,17950.00,-32768.00
370799,-0.94,-0.20,0.20,-22696.00,2845.00,-32768.00
370850,-0.67,-0.60,0.40,-18183.00,-11356.00,-32768.00
370901,-0.12,-1.14,0.58,-321.00,-27613.00,-32768.00
370952,0.33,-0.53,0.62,20264.00,-26225.00,-32768.00
371003,0.91,-0.06,0.98,32720.00,2747.00,-32768.00
371054,0.45,1.13,0.53,-486.00,32767.00,-31101.00
371105,-0.47,-0.18,0.65,-29188.00,-21440.00,-3242.00
371156,0.27,-0.17,1.43,32673.00,-5889.00,-413.00
371207,-0.01,0.14,0.74,-4699.00,-17867.00,-285.00
371258,0.14,-0.14,0.61,4385.00,4272.00,-77.00
371309,0.12,-0.01,0.97,-1321.00,-1148.00,177.00
371360,0.05,-0.03,1.01,-11.00,-7.00,21.00
371411,0.06,-0.03,1.00,26.00,28.00,10.00
371462,0.06,-0.03,1.00,11.00,20.00,10.00
371513,0.06,-0.03,1.00,18.00,32.00,9.00
371564,0.06,-0.03,1.00,13.00,33.00,21.00
371615,0.06,-0.03,1.00,10.00,37.00,15.00
371666,0.06,-0.03,1.00,14.00,34.00,11.00
371717,0.06,-0.03,1.00,2.00,39.00,10.00
371768,0.06,-0.03,1.00,4.00,38.00,18.00
371819,0.06,-0.03,1.00,16.00,37.00,22.00
