timestamp,ax,ay,az,gx,gy,gz
81359,0.40,-0.57,2.45,-13765.00,-891.00,3016.00
81410,1.01,-0.70,0.94,32767.00,-9789.00,-123.00
81461,0.66,-0.17,-1.63,16273.00,4725.00,-9664.00
81512,0.36,-0.32,0.76,-32768.00,10746.00,1029.00
81563,0.85,-0.68,2.67,-14293.00,-10757.00,2916.00
81614,0.71,-0.63,0.01,32767.00,1010.00,-9878.00
81665,0.28,0.11,-2.14,-13364.00,-2715.00,-3748.00
81716,0.65,-1.23,2.28,-32768.00,14932.00,9876.00
81767,1.05,-0.53,2.35,17368.00,-8223.00,-5038.00
81818,0.35,-0.08,-1.70,30216.00,-2232.00,-7058.00
81870,0.47,-0.86,0.49,-32768.00,13545.00,9638.00
81921,1.22,-0.57,2.73,-9399.00,-1649.00,-2133.00
81972,0.14,-0.17,0.05,32662.00,-10984.00,-9879.00
82023,0.02,-0.20,-1.04,2293.00,9445.00,5984.00
82074,0.29,-0.39,0.54,-26907.00,19769.00,13139.00
82125,0.42,-0.94,1.67,-15405.00,21234.00,11186.00
82176,0.37,-0.72,1.56,6255.00,18498.00,8253.00
82227,0.21,-0.29,0.55,15879.00,14607.00,8417.00
82278,0.06,-0.15,0.13,6983.00,5658.00,11410.00
82329,-0.00,-0.11,0.36,-9063.00,7917.00,10732.00
82380,-0.18,-0.54,0.35,-16750.00,12761.00,10595.00
82431,-0.19,-0.52,0.36,-14140.00,10722.00,10101.00
82482,-0.17,-0.77,0.45,-15486.00,12216.00,10061.00
82533,-0.29,-1.01,0.40,-13327.00,12039.00,1145.00
82584,-0.31,-1.00,0.44,-14275.00,5683.00,-2222.00
82635,-0.27,-1.28,0.35,-13593.00,-4692.00,-1752.00
82686,-0.23,-1.05,0.47,-11253.00,-9889.00,-3394.00
82737,-0.17,-1.23,0.40,-10580.00,-9048.00,-4267.00
82788,-0.21,-1.22,0.41,-5727.00,-6562.00,-3079.00
82839,-0.21,-1.16,0.29,-2487.00,-7558.00,-2002.00
82890,-0.14,-1.07,0.28,-1423.00,-4578.00,2003.00
82941,-0.17,-1.06,0.24,1162.00,1189.00,858.00
82992,-0.17,-1.29,0.20,4505.00,518.00,1188.00
83043,-0.26,-1.21,0.20,4793.00,-2402.00,479.00
83094,-0.26,-1.20,0.08,5363.00,-4714.00,-3487.00
83145,-0.28,-1.21,0.08,3478.00,-6536.00,-2932.00
83196,-0.20,-1.20,0.46,-2011.00,-5520.00,-3151.00
83247,-0.13,-1.18,0.53,15776.00,-292.00,1265.00
83298,-0.12,-0.91,0.43,16207.00,1389.00,-533.00
83349,-0.12,-0.73,0.80,15539.00,-448.00,277.00
83400,-0.08,-0.62,0.39,12479.00,426.00,-509.00
83451,-0.17,-0.74,0.34,23502.00,-1731.00,-308.00
83502,-0.08,-0.25,0.35,32761.00,-5035.00,-234.00
83553,-0.00,-0.02,0.56,32767.00,-13883.00,5.00
83604,0.18,-0.12,-0.42,1366.00,18786.00,-7052.00
83655,0.11,0.07,0.38,-7662.00,-6885.00,-285.00
83706,0.21,0.16,0.75,-822.00,2979.00,240.00
83757,0.18,0.06,1.14,346.00,-769.00,219.00
83808,0.09,0.02,0.97,2.00,81.00,0.00
83859,0.10,0.03,0.99,9.00,45.00,18.00
83910,0.10,0.03,0.99,23.00,38.00,4.00
83961,0.10,0.03,0.99,12.00,29.00,12.00
84012,0.10,0.03,0.99,9.00,35.00,19.00
84063,0.10,0.03,1.00,6.00,30.00,15.00
84114,0.10,0.03,0.99,17.00,37.00,15.00
84165,0.10,0.03,0.99,22.00,22.00,25.00
84216,0.10,0.03,0.99,20.00,32.00,13.00
84267,0.10,0.03,0.99,25.00,25.00,13.00
