timestamp,ax,ay,az,gx,gy,gz
15176,1.93,0.52,1.15,5582.00,1131.00,-32189.00
15227,3.35,0.12,1.30,-4809.00,24154.00,-32768.00
15278,1.81,-1.79,0.54,8892.00,24560.00,-32768.00
15329,-0.10,-0.80,0.18,15311.00,1503.00,-32768.00
15380,0.19,-0.21,0.24,14587.00,-14254.00,-32768.00
15431,-0.46,0.02,0.50,7237.00,-24209.00,-32768.00
15482,-0.31,0.01,0.61,-11996.00,-17148.00,-32768.00
15533,-0.50,-0.03,0.71,-20460.00,-4117.00,-32768.00
15584,-0.79,-0.19,0.81,-18054.00,11582.00,-32768.00
15635,-0.51,-0.28,0.67,-11463.00,21192.00,-32768.00
15687,-0.71,-0.30,0.66,-2990.00,23085.00,-26478.00
15738,-0.78,-0.65,0.39,-1744.00,-9848.00,3282.00
15789,-0.66,-0.33,0.26,-3225.00,-20773.00,22366.00
15840,-0.72,0.16,0.79,-7848.00,-8569.00,32767.00
15891,-1.18,-0.17,0.29,-13118.00,18221.00,32767.00
15942,-1.20,-0.09,0.54,3097.00,10355.00,32767.00
15993,-0.96,-0.06,0.49,17933.00,-4776.00,32767.00
16044,-1.24,0.07,0.40,10585.00,3147.00,22765.00
16095,-1.70,0.02,0.80,-9604.00,286.00,-7084.00
16146,-2.55,-0.70,0.73,-22187.00,-13942.00,-32668.00
16197,-2.54,1.07,1.06,-2502.00,-3550.00,-32768.00
16248,-1.17,0.46,0.83,-7217.00,-9831.00,-32768.00
16299,-0.08,0.47,0.38,-14491.00,-5234.00,-32768.00
16350,0.53,0.33,0.21,-18902.00,-1246.00,-32768.00
16401,0.95,0.05,0.31,-16896.00,5130.00,-32768.00
16452,1.01,0.02,0.22,-10360.00,8014.00,-32768.00
16503,0.92,0.27,0.45,-1130.00,6881.00,-32768.00
16554,0.48,0.50,0.44,4147.00,1041.00,-32768.00
16605,0.44,0.81,0.39,5246.00,-5323.00,-32768.00
16656,-0.04,0.94,0.35,622.00,-9938.00,-32768.00
16707,-0.40,0.63,0.47,-6404.00,-12683.00,-32768.00
16758,-0.47,0.28,0.58,-12907.00,-12727.00,-32768.00
16809,-0.66,0.32,0.64,-16543.00,-12306.00,-32768.00
16860,-0.73,0.09,0.73,-17795.00,-12988.00,-29756.00
16911,-0.54,-0.22,0.77,-17395.00,-12990.00,-24874.00
16962,-0.51,-0.31,0.86,-14531.00,-10882.00,-18809.00
17013,-0.44,-0.43,0.92,-9052.00,-9199.00,-12292.00
17064,-0.22,-0.44,0.80,4270.00,-5750.00,-6964.00
17115,-0.26,-0.35,0.87,7146.00,-3022.00,-4986.00
17166,-0.39,-0.33,0.89,9732.00,6655.00,-4080.00
17217,-0.11,-0.30,0.98,11611.00,17687.00,-6046.00
17268,-0.44,-0.87,0.39,1513.00,8203.00,3513.00
17319,-0.56,0.25,0.35,6274.00,-4543.00,20476.00
17370,-0.45,-0.28,2.08,28305.00,-7848.00,30439.00
17421,-0.35,0.42,0.41,25891.00,8851.00,32767.00
17472,-0.54,0.92,0.84,10965.00,17879.00,32767.00
17523,-0.73,0.97,0.72,-18602.00,26956.00,32767.00
17574,-1.00,0.58,0.89,-20141.00,16333.00,29010.00
17625,-1.23,0.65,1.03,2752.00,2167.00,-5650.00
17676,-1.17,0.66,1.22,-3732.00,-5252.00,-32631.00
17727,-1.80,1.05,1.34,-22779.00,-4066.00,-32768.00
17778,-1.01,1.94,0.55,-23136.00,-12911.00,-32768.00
17829,1.30,1.31,1.01,-22599.00,-1426.00,-32768.00
17880,0.52,-0.16,0.38,-14257.00,1419.00,-32768.00
17931,0.66,0.07,0.46,-8597.00,-5305.00,-32768.00
17982,0.90,0.53,0.27,-11048.00,-16943.00,-32768.00
18033,0.85,0.65,0.37,-21348.00,-25085.00,-32768.00
18084,0.46,0.81,0.57,-14561.00,-21167.00,-32768.00
18135,-0.35,0.26,1.58,-817.00,-1504.00,-32768.00
18186,-0.09,0.47,0.79,-5311.00,-5516.00,-32768.00
18237,-0.81,0.30,0.61,-8526.00,-14964.00,-32768.00
18288,-0.60,-0.00,0.67,-6962.00,-25492.00,-32049.00
18339,0.12,-0.30,1.13,-2785.00,-31360.00,-16878.00
18390,-0.56,-0.84,1.85,-984.00,-18745.00,-435.00
18441,0.09,0.13,0.62,8035.00,1476.00,9743.00
18492,-0.21,0.34,0.90,-255.00,-358.00,8264.00
18543,-0.42,-0.08,0.57,-623.00,-8437.00,9637.00
18594,0.19,0.44,1.04,4167.00,-14405.00,5959.00
18645,0.00,0.43,1.08,5657.00,-12264.00,4608.00
18696,-0.03,0.03,0.85,1872.00,-4108.00,8484.00
18747,0.21,0.11,0.81,485.00,13701.00,7755.00
18798,-0.03,0.02,0.68,2365.00,15987.00,10599.00
18849,-0.15,-0.33,0.69,13795.00,1610.00,10420.00
18900,0.27,0.36,0.68,14297.00,155.00,12481.00
18951,-0.12,0.15,0.06,855.00,-9238.00,14611.00
19002,-0.16,0.32,0.86,-6336.00,-4579.00,9894.00
19053,-0.18,0.23,0.88,-9901.00,1620.00,6006.00
19104,0.01,0.00,0.66,-11747.00,2205.00,2261.00
19155,0.06,-0.33,1.79,-9965.00,550.00,2867.00
19206,0.10,-0.36,1.54,-3005.00,1702.00,4594.00
