timestamp,ax,ay,az,gx,gy,gz
308810,0.12,-1.02,2.07,-1799.00,-11306.00,-2032.00
308861,0.62,-1.54,2.34,-11700.00,-19712.00,-8572.00
308912,1.47,-2.31,2.85,-25911.00,-25099.00,-26849.00
308963,2.97,-3.90,2.34,-32768.00,-24946.00,-32768.00
309014,5.32,-4.80,0.97,-32768.00,4008.00,-32768.00
309065,1.30,-1.08,-0.77,-32768.00,32767.00,-32768.00
309116,1.49,-1.09,-0.44,-6292.00,32765.00,-32768.00
309167,1.30,-1.03,0.33,32767.00,17880.00,-32768.00
309218,1.21,-0.69,-0.04,32303.00,-32768.00,-32768.00
309269,1.27,-0.76,0.66,964.00,-32766.00,-32768.00
309321,1.33,-0.90,0.35,-32768.00,-31609.00,-32768.00
309372,1.36,-0.95,-0.00,-32768.00,10036.00,-32768.00
309423,1.40,-0.86,0.54,-22650.00,23452.00,-32768.00
309474,1.27,-0.86,0.32,6038.00,10878.00,-32768.00
309525,1.18,-0.84,0.45,9936.00,-14328.00,-32768.00
309576,1.28,-0.83,0.73,-8742.00,-25928.00,-32768.00
309627,1.31,-0.83,0.70,-21158.00,-19714.00,-32768.00
309678,1.32,-0.83,0.78,-20785.00,-1205.00,-32768.00
309729,1.29,-0.84,0.78,-13452.00,8022.00,-32768.00
309780,1.27,-0.84,0.71,-11019.00,758.00,-32768.00
309831,1.27,-0.84,0.78,-11846.00,-11010.00,-32768.00
309882,1.29,-0.79,0.93,-11091.00,-15481.00,-32768.00
309933,1.27,-0.81,0.95,-10359.00,-6341.00,-32768.00
309984,1.26,-0.82,0.79,-12852.00,815.00,-32768.00
310035,1.27,-0.82,0.77,-17209.00,-2420.00,-32768.00
310086,1.28,-0.79,0.87,-16830.00,-11071.00,-32768.00
310137,1.26,-0.77,0.99,-10339.00,-13625.00,-32768.00
310188,1.23,-0.79,0.95,-6634.00,-6700.00,-32768.00
310239,1.24,-0.84,0.87,-11171.00,1196.00,-32768.00
310290,1.27,-0.82,0.78,-18622.00,-1213.00,-32768.00
310341,1.28,-0.77,0.92,-19318.00,-11638.00,-32768.00
310392,1.24,-0.73,1.03,-12153.00,-15271.00,-32768.00
310443,1.20,-0.78,1.01,-7594.00,-7246.00,-32768.00
310494,1.21,-0.82,0.86,-10745.00,1519.00,-32768.00
310545,1.24,-0.81,0.75,-17357.00,226.00,-32768.00
310596,1.23,-0.76,0.78,-16142.00,-9071.00,-32768.00
310647,1.21,-0.74,0.86,-10405.00,-12900.00,-32768.00
310698,1.17,-0.77,0.89,-7169.00,-6378.00,-32768.00
310749,1.18,-0.81,0.76,-11474.00,824.00,-32768.00
310800,1.20,-0.79,0.61,-15938.00,-2212.00,-32768.00
310851,1.21,-0.75,0.69,-13995.00,-10367.00,-32768.00
310902,1.17,-0.73,0.87,-7824.00,-12641.00,-32768.00
310953,1.16,-0.77,0.81,-6942.00,-5803.00,-32768.00
311004,1.17,-0.78,0.70,-14962.00,-1120.00,-32768.00
311055,1.19,-0.77,0.69,-17786.00,-4639.00,-32768.00
311106,1.18,-0.73,0.78,-13484.00,-11117.00,-32768.00
311157,1.16,-0.75,0.77,-8521.00,-9498.00,-32768.00
311208,1.16,-0.75,0.71,-10364.00,-3750.00,-32768.00
311259,1.13,-0.73,0.69,-14360.00,-761.00,-32768.00
311310,1.11,-0.75,0.63,-12967.00,-3507.00,-32768.00
311361,1.14,-0.74,0.87,-8889.00,-8181.00,-32768.00
311412,1.40,-1.48,0.13,32198.00,32144.00,-32768.00
311463,0.95,-0.84,-0.69,-32768.00,-19711.00,-32768.00
311514,0.19,-0.20,-0.28,-32754.00,19244.00,-32768.00
311565,-0.11,-0.93,-0.18,-32768.00,32715.00,-32768.00
311616,0.41,-0.27,-0.10,-32768.00,32767.00,-32768.00
311667,0.52,-0.29,-0.02,-3453.00,32767.00,-32768.00
311718,0.46,-0.41,0.04,32767.00,32767.00,-32768.00
311769,3.70,1.43,1.87,32767.00,28346.00,-32768.00
311820,-0.10,2.56,0.30,13979.00,32767.00,-32768.00
311871,0.23,-0.22,-0.06,24277.00,32767.00,-32768.00
311922,-0.00,-0.16,-0.00,26696.00,15496.00,-32768.00
311973,-0.93,-0.33,0.12,28219.00,2514.00,-32768.00
312024,-0.21,-0.48,0.04,23553.00,1425.00,-32768.00
312075,-0.11,-0.63,0.11,19150.00,-7127.00,-32768.00
312126,-0.08,-1.21,0.50,21294.00,-18978.00,-32768.00
312177,0.93,-1.35,0.80,30346.00,-27209.00,-32768.00
312228,0.41,-0.34,0.45,32767.00,-20292.00,-32768.00
312279,0.13,0.13,0.20,32767.00,6444.00,-32768.00
312330,0.71,0.65,0.34,29234.00,6135.00,-32768.00
312381,0.12,0.25,0.04,14967.00,1390.00,-32768.00
312432,-0.01,0.29,0.06,5544.00,-3778.00,-32768.00
312483,-0.87,1.02,0.18,167.00,-5490.00,-32768.00
312534,-0.71,0.38,0.14,-5341.00,-9269.00,-32768.00
312585,-0.45,0.07,0.12,-11839.00,-14372.00,-32768.00
312636,-1.56,-0.33,0.46,-17820.00,-21416.00,-32768.00
312687,-2.00,-2.54,1.09,-16584.00,-32768.00,-32768.00
312738,0.02,-0.45,0.28,-5015.00,-32767.00,-32768.00
312789,0.48,-1.02,0.25,24175.00,-32768.00,-32768.00
312840,0.98,-0.39,-0.14,32767.00,-10182.00,-32768.00
312891,0.53,-0.06,0.27,28371.00,-4967.00,-32768.00
312942,1.76,0.79,0.40,20802.00,11544.00,-32768.00
312993,0.51,0.76,0.38,8386.00,20922.00,-32768.00
313044,-0.12,0.85,0.15,-15104.00,24122.00,-32768.00
313095,-0.20,0.37,0.15,-29679.00,19412.00,-32768.00
313146,-1.47,-0.01,0.57,-32768.00,-13308.00,-32031.00
313197,-1.61,-2.67,2.77,-27219.00,-32765.00,-26256.00
313248,0.52,-0.45,1.17,32639.00,-29160.00,-15367.00
313299,0.10,0.12,0.19,8227.00,32700.00,-4435.00
313350,0.04,-0.04,0.44,-26604.00,-24070.00,6496.00
313401,0.00,0.21,1.31,-7850.00,-865.00,1743.00
313452,0.08,0.16,1.23,-386.00,-2568.00,332.00
313503,0.05,0.02,1.00,-47.00,115.00,-1.00
313554,0.06,0.02,1.00,13.00,29.00,10.00
313605,0.06,0.02,1.00,26.00,33.00,16.00
313656,0.06,0.02,1.00,6.00,37.00,17.00
313707,0.06,0.02,1.00,3.00,28.00,-1.00
313758,0.06,0.02,1.00,13.00,27.00,18.00
313809,0.06,0.02,1.00,20.00,40.00,26.00
